"","Estación1","Estación2","Estación3","Estación4","Estación5","Estación6","Estación7","Estación8","Estación9","Estación10","Estación11","Estación12","Estación13","Estación14","Estación15"
"Estación1",0,2.22509546518528,5.39353616745558,5.08929296407236,2.61513118183105,6.87199440269267,8.20540737679577,10.4115478909497,5.64041004475575,13.7244675878707,15.7372129114575,14.7184129833259,10.7759366620292,12.9473037194786,16.719176747536
"Estación2",2.22509546518528,0,3.47077266330763,4.43850686075442,3.503502988845,6.9091113357755,7.35688515469739,10.6516918775875,6.94592592358125,13.9209566333405,15.852427488327,13.7364261215385,8.89710583309562,14.2661895475099,18.5724878941402
"Estación3",5.39353616745558,3.47077266330763,0,3.33046686274121,5.07170993832611,6.09031307278086,5.03453537251361,9.63161507943625,8.04645940730732,12.6196035163463,14.3488727328273,10.848702719712,5.43140026250928,14.7744215613609,22.0225671451369
"Estación4",5.08929296407236,4.43850686075442,3.33046686274121,0,3.18395429738366,2.80887500818502,3.11632145085726,6.49490729453357,5.11935173991982,9.65500267175632,11.5190543995561,9.62961719994698,6.9593360478129,11.4724094584155,21.4442650698806
"Estación5",2.61513118183105,3.503502988845,5.07170993832611,3.18395429738366,0,4.33009524744868,6.1524669266986,7.79911788366799,3.44670964195828,11.1111787748667,13.1277952679856,12.5923780779932,9.88174175633337,10.7648119934621,18.2849781421678
"Estación6",6.87199440269267,6.9091113357755,6.09031307278086,2.80887500818502,4.33009524744868,0,3.09879149192253,3.75402652940509,3.99726702579505,7.01256080219838,8.96286081146332,8.7195242253764,8.56458613258328,8.95571701971232,22.0542002164887
"Estación7",8.20540737679577,7.35688515469739,5.03453537251361,3.11632145085726,6.1524669266986,3.09879149192253,0,5.26128043412007,6.98390224297547,7.8206013494758,9.41004231013063,6.51331186014122,5.66093748317015,11.669483444345,24.4228128901351
"Estación8",10.4115478909497,10.6516918775875,9.63161507943625,6.49490729453357,7.79911788366799,3.75402652940509,5.26128043412007,0,5.97033227679092,3.31358683751888,5.33247023304155,7.76887177143331,10.7677739818662,6.94732266402704,24.2943412850971
"Estación9",5.64041004475575,6.94592592358125,8.04645940730732,5.11935173991982,3.44670964195828,3.99726702579505,6.98390224297547,5.97033227679092,0,9.05217409473155,11.0973422488609,12.6055767380416,12.0001521279907,7.34887754852392,18.4124946471184
"Estación10",13.7244675878707,13.9209566333405,12.6196035163463,9.65500267175632,11.1111787748667,7.01256080219838,7.8206013494758,3.31358683751888,9.05217409473155,0,2.05036177358161,7.56539547550012,12.7592737569208,7.39581371970815,27.0639999185768
"Estación11",15.7372129114575,15.852427488327,14.3488727328273,11.5190543995561,13.1277952679856,8.96286081146332,9.41004231013063,5.33247023304155,11.0973422488609,2.05036177358161,0,7.70736100384969,13.9089127817087,8.69951151701965,29.0153172032173
"Estación12",14.7184129833259,13.7364261215385,10.848702719712,9.62961719994698,12.5923780779932,8.7195242253764,6.51331186014122,7.76887177143331,12.6055767380416,7.56539547550012,7.70736100384969,0,7.76117988851681,14.4572576253286,30.742053032298
"Estación13",10.7759366620292,8.89710583309562,5.43140026250928,6.9593360478129,9.88174175633337,8.56458613258328,5.66093748317015,10.7677739818662,12.0001521279907,12.7592737569208,13.9089127817087,7.76117988851681,0,17.3303224930442,27.4518588168166
"Estación14",12.9473037194786,14.2661895475099,14.7744215613609,11.4724094584155,10.7648119934621,8.95571701971232,11.669483444345,6.94732266402704,7.34887754852392,7.39581371970815,8.69951151701965,14.4572576253286,17.3303224930442,0,21.7060855027964
"Estación15",16.719176747536,18.5724878941402,22.0225671451369,21.4442650698806,18.2849781421678,22.0542002164887,24.4228128901351,24.2943412850971,18.4124946471184,27.0639999185768,29.0153172032173,30.742053032298,27.4518588168166,21.7060855027964,0
